COD_IBGE;MUNICIPIO;COD_REGIAO_COVID;REGIAO_COVID;BAIRRO;QUANTIDADE_CASOS
430060;ALVORADA;7;PORTO ALEGRE - R10;ELSA VIAMAO;3
430060;ALVORADA;7;PORTO ALEGRE - R10;ELZA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;ERNESTO FONTOURA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;ESPALANADA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;ESPERANCA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;ESPLANADA;2
430060;ALVORADA;7;PORTO ALEGRE - R10;ESTANCIA GRANDE;17
430060;ALVORADA;7;PORTO ALEGRE - R10;ESTANCIA VELHA;2
430060;ALVORADA;7;PORTO ALEGRE - R10;ESTARDA DO COCAO;1
430060;ALVORADA;7;PORTO ALEGRE - R10;ESTELA MARES;1
430060;ALVORADA;7;PORTO ALEGRE - R10;ESTELA MARIS;11
430060;ALVORADA;7;PORTO ALEGRE - R10;ESTELLA MARIS;4
430060;ALVORADA;7;PORTO ALEGRE - R10;ESTRADA DO COCAO;1
430060;ALVORADA;7;PORTO ALEGRE - R10;ESTRADA GERAL;2
430060;ALVORADA;7;PORTO ALEGRE - R10;ESTRELA DO MAR;1
430060;ALVORADA;7;PORTO ALEGRE - R10;FARRAPOS;1
430060;ALVORADA;7;PORTO ALEGRE - R10;FATIMA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;FERRARI;3
430060;ALVORADA;7;PORTO ALEGRE - R10;FIGUEIRA;8
430060;ALVORADA;7;PORTO ALEGRE - R10;FLOR DA CERRA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;FLORESTA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;FOMORSA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;FOMOSA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;FOMOZA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;FONJTOURA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;FONTOURA;40
